CO_IES;NO_IES;NO_MANTENEDORA;SG_UF_IES;mat;GRUPO_SUGERIDO;EVIDENCIA;MOTIVO
1131;CENTRO UNIVERSITÁRIO SANTO AGOSTINHO;ASSOCIACAO TERESINENSE DE ENSINO S/S LTDA;PI;4727.0;Afya;B;marca 'SANTO AGOSTINHO' encontrada no nome da IES
19337;FACULDADE UNIFAMETRO MARACANAÚ;EMPREENDIMENTO EDUCACIONAL MARACANAU LTDA.;CE;416.0;YDUQS;B;marca 'UNIFAMETRO' encontrada no nome da IES
1247;FACULDADE DE CIÊNCIAS CONTÁBEIS DE NOVA ANDRADINA - FACINAN;ASSOCIACAO EDUCACIONAL NOVE DE JULHO;MS;251.0;UNINOVE;B;marca 'NOVE DE JULHO' encontrada no mantenedora
20499;Faculdade da Polícia Militar;FUNDACAO TIRADENTES;GO;212.0;Tiradentes;B;marca 'TIRADENTES' encontrada no mantenedora
3839;Faculdade IPEMED de Ciências Médicas;INSTITUTO DE PESQUISA E ENSINO MEDICO DO ESTADO DE MINAS GERAIS LTDA;MG;40.0;Afya;B;marca 'IPEMED' encontrada no nome da IES
19859;FACULDADE UNIFAMETRO CASCAVEL;EMPREENDIMENTO EDUCACIONAL MARACANAU LTDA.;CE;33.0;YDUQS;B;marca 'UNIFAMETRO' encontrada no nome da IES
