co_ies;ies_censo;grupo;uf_censo;co_mantenedora;mantenedora;cnpj;natureza_juridica;ies_emec;sigla;endereco_sede;municipio;uf;organizacao;credenciamento;categoria;ci;ci_ead;igc;sinalizacoes;situacao
224;Centro Universitário FMABC;Independentes;SP;162;FUNDACAO DO ABC;57.571.275/0001-00;Fundação Pública de Direito Privado Municipal;Centro Universitário FMABC (FMABC);FMABC;Avenida Príncipe de Gales - 821 - CEP: 09060-650 - Príncipe de Gales;Santo André;SP;Centro Universitário;Presencial - Superior;Privada;5;4;4;;Ativa
1273;Centro Universitário Campo Limpo Paulista;Independentes;SP;849;INSTITUTO DE ENSINO CAMPO LIMPO PAULISTA LTDA;02.252.746/0001-18;Privada com fins lucrativos;Centro Universitário Campo Limpo Paulista ( UNIFACCAMP);UNIFACCAMP;Rua Guatemala - 167 - CEP: 13231-230 - Jardim América;Campo Limpo Paulista;SP;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;4;4;2;;Ativa
2537;Faculdade Multivix Cariacica;Multivix;ES;1654;MULTIVIX CARIACICA - ENSINO, PESQUISA E EXTENSAO LTDA;39.780.655/0001-65;Privada com fins lucrativos;Faculdade Multivix Cariacica (MULTIVIX CARIAC);MULTIVIX CARIAC;Rua 13 de Maio - 40 - CEP: 29146-672 - São Geraldo;Cariacica;ES;Faculdade;EAD - Superior / Presencial - Superior /;Privada;4;4;4;Unificação de Mantidas;Ativa
2271;FACULDADE ANHANGUERA DE IPATINGA;Cogna;MG;3167;ORME SERVICOS EDUCACIONAIS LTDA;05.478.567/0001-91;Privada com fins lucrativos;FACULDADE ANHANGUERA DE IPATINGA;-;Rua Jequitibá - 401 - CEP: 35160-036 - Horto;Ipatinga;MG;Faculdade;Presencial - Superior;Privada;4;;3;;Ativa
5670;CENTRO UNIVERSITÁRIO DO VALE DO ARAGUAIA;Independentes;MT;571;SEAR - SOCIEDADE EDUCACIONAL DO ARAGUAIA LTDA;00.965.087/0001-31;Privada com fins lucrativos;CENTRO UNIVERSITÁRIO DO VALE DO ARAGUAIA (UNIVAR);UNIVAR;Rua Moreira Cabral - 1000 - CEP: 78600-000 - Setor Mariano;Barra do Garças;MT;Centro Universitário;Presencial - Superior;Privada;5;5;3;;Ativa
151;ESCOLA DE ADMINISTRAÇÃO DE EMPRESAS DE SÃO PAULO - FGV EAESP;Independentes;SP;110;FUNDACAO GETULIO VARGAS;33.641.663/0001-44;Privada sem fins lucrativos;ESCOLA DE ADMINISTRAÇÃO DE EMPRESAS DE SÃO PAULO - FGV EAESP (FGV-EAESP);FGV-EAESP;Avenida 9 de Julho - 2029 - CEP: 01313-902 - Bela Vista;São Paulo;SP;Faculdade;EAD - Superior / Presencial - Superior /;Privada;5;5;5;;Ativa
1913;CENTRO UNIVERSITÁRIO FAMINAS;Independentes;MG;1260;LAEL VARELLA EDUCACAO E CULTURA LTDA;03.466.623/0001-42;Privada com fins lucrativos;CENTRO UNIVERSITÁRIO FAMINAS (UNIFAMINAS);UNIFAMINAS;Av Avenida Cristiano Ferreira Varella - 655 - CEP: 36888-233 - Universitário;Muriaé;MG;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;5;4;4;;Ativa
17138;Centro Universitário - Católica de Santa Catarina em Joinville;Independentes;SC;419;FUNDACAO EDUCACIONAL REGIONAL JARAGUAENSE;83.130.229/0001-78;Privada sem fins lucrativos;Centro Universitário - Católica de Santa Catarina em Joinville (Católica em Joinvile);Católica em Joinvile;Rua Senador Felipe Schmidt - S/N - CEP: 89201-440 - Centro;Joinville;SC;Centro Universitário;Presencial - Superior;Privada;5;;4;;Ativa
3396;Centro Universitário LS;Independentes;DF;2148;SANTANA INSTITUTO DE EDUCACAO SUPERIOR EIRELI;02.846.920/0001-50;Privada com fins lucrativos;Centro Universitário LS (UNILS);UNILS;Quadra Setor D Sul - Lote 05 - CEP: 72020-111 - Taguatinga Sul (Taguatinga);Brasília;DF;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;4;4;4;;Ativa
502;CENTRO UNIVERSITÁRIO SÃO JUDAS TADEU;Ânima;SP;346;INSTITUTO DE EDUCACAO, CULTURA E ENSINO SUPERIOR S/A;44.952.711/0001-31;Privada com fins lucrativos;CENTRO UNIVERSITÁRIO SÃO JUDAS TADEU (CSJT);CSJT;Avenida Rangel Pestana - 99 - CEP: 11013-551 - Vila Mathias;Santos;SP;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;4;4;3;;Ativa
2189;FACULDADE DO MARANHÃO;Independentes;MA;1306;SOMAR - SOCIEDADE MARANHENSE DE ENSINO SUPERIOR LTDA - ME;04.855.275/0001-68;Privada com fins lucrativos;CENTRO UNIVERSITÁRIO FACAM (UNIFACAM);UNIFACAM;Rua Trinta e Oito - Lote 03 - CEP: 65062-340 - Bequimão;São Luís;MA;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;4;3;3;;Ativa
1965;Centro Universitário Mario Pontes Jucá;Independentes;AL;1290;FAPEC - FUNDACAO ALAGOANA DE PESQUISA, EDUCACAO E CULTURA;01.073.457/0001-99;Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública;Centro Universitário Mario Pontes Jucá (UMJ);UMJ;Avenida Presidente Roosevelt - 1200 - CEP: 57046-410 - Serraria;Maceió;AL;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;4;4;3;;Ativa
1386;FACULDADE ESAMC CAMPINAS;Independentes;SP;918;CENTRO DE ESTUDOS DE ADMINISTRACAO E MARKETING CEAM LTDA;02.635.280/0001-30;Privada com fins lucrativos;Centro Universitário Esamc Campinas;-;Rua José Paulino - 1345 - CEP: 13013-001 - Centro;Campinas;SP;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;4;4;2;Unificação de Mantidas;Ativa
