co_ies;ies_censo;grupo;uf_censo;co_mantenedora;mantenedora;cnpj;natureza_juridica;ies_emec;sigla;endereco_sede;municipio;uf;organizacao;credenciamento;categoria;ci;ci_ead;igc;sinalizacoes;situacao
298;Universidade Pitágoras Unopar Anhanguera;Cogna;PR;14514;EDITORA E DISTRIBUIDORA EDUCACIONAL S/A;38.733.648/0001-40;Privada com fins lucrativos;Universidade Pitágoras Unopar Anhanguera (Unopar);Unopar;Rua Edwy Taques de Araújo - 900 - CEP: 86047-790 - Jardim Burle Marx;Londrina;PR;Universidade;EAD - Superior / Presencial - Superior /;Privada;5;4;3;Unificação de Mantidas;Ativa
1472;CENTRO UNIVERSITÁRIO LEONARDO DA VINCI;Vitru;SC;821;SOCIEDADE EDUCACIONAL LEONARDO DA VINCI LTDA;01.894.432/0001-56;Privada com fins lucrativos;CENTRO UNIVERSITÁRIO LEONARDO DA VINCI (UNIASSELVI);UNIASSELVI;R Rua Doutor Pedrinho - 79 - CEP: 89082-262 - Rio Morto;Indaial;SC;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;5;5;3;;Ativa
1196;UNIVERSIDADE CESUMAR;Vitru;PR;19855;VITRU EDUCACAO S.A.;20.512.706/0001-40;Privada com fins lucrativos;UNIVERSIDADE CESUMAR (UNICESUMAR);UNICESUMAR;Avenida Guedner - 1610 - CEP: 87050-390 - Jardim Aclimação;Maringá;PR;Universidade;EAD - Superior / Presencial - Superior /;Privada;5;5;3;;Ativa
163;UNIVERSIDADE ESTÁCIO DE SÁ;YDUQS;RJ;119;SOCIEDADE DE ENSINO SUPERIOR ESTACIO DE SA LTDA;34.075.739/0001-84;Privada com fins lucrativos;UNIVERSIDADE ESTÁCIO DE SÁ (UNESA);UNESA;Av. das Américas - 4.200 - CEP: 22640-102 - Barra da Tijuca;Rio de Janeiro;RJ;Universidade;EAD - Superior / Presencial - Superior /;Privada;5;5;3;Unificação de Mantidas;Ativa
1491;CENTRO UNIVERSITÁRIO INTERNACIONAL;UNINTER;PR;981;UNINTER EDUCACIONAL S/A;02.261.854/0001-57;Privada com fins lucrativos;CENTRO UNIVERSITÁRIO INTERNACIONAL (UNINTER);UNINTER;Rua do Rosário - 147 - CEP: 80020-110 - Centro;Curitiba;PR;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;5;5;3;;Ativa
322;UNIVERSIDADE PAULISTA;UNIP;SP;2415;ASSUPERO ENSINO SUPERIOR LTDA.;06.099.229/0001-01;Privada com fins lucrativos;UNIVERSIDADE PAULISTA (UNIP);UNIP;Avenida Torres de Oliveira - 330 - CEP: 05347-020 - Jaguaré;São Paulo;SP;Universidade;EAD - Superior / Presencial - Superior /;Privada;4;;3;;Ativa
221;UNIVERSIDADE CRUZEIRO DO SUL;Cruzeiro do Sul;SP;159;CRUZEIRO DO SUL EDUCACIONAL S.A.;62.984.091/0001-02;Privada com fins lucrativos;UNIVERSIDADE CRUZEIRO DO SUL (UNICSUL);UNICSUL;Avenida Doutor Ussiel Cirilo - 111 a 213 - CEP: 08060-070 - Vila Jacuí;São Paulo;SP;Universidade;EAD - Superior / Presencial - Superior /;Privada;5;5;3;;Ativa
316;UNIVERSIDADE NOVE DE JULHO;UNINOVE;SP;222;ASSOCIACAO EDUCACIONAL NOVE DE JULHO;43.374.768/0001-38;Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública;UNIVERSIDADE NOVE DE JULHO (UNINOVE);UNINOVE;Rua Vergueiro - 235 - CEP: 01504-001 - Liberdade;São Paulo;SP;Universidade;EAD - Superior / Presencial - Superior /;Privada;5;4;3;;Ativa
417;UNIVERSIDADE CIDADE DE SÃO PAULO;Cruzeiro do Sul;SP;290;SECID - SOCIEDADE EDUCACIONAL CIDADE DE SAO PAULO S.A.;43.395.177/0001-47;Privada com fins lucrativos;UNIVERSIDADE CIDADE DE SÃO PAULO (UNICID);UNICID;Rua Cesário Galero - 448/475 - CEP: 03071-000 - Tatuapé;São Paulo;SP;Universidade;EAD - Superior / Presencial - Superior /;Privada;5;4;3;;Ativa
2835;CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU;Ser Educacional;PE;1847;SER EDUCACIONAL S.A.;04.986.320/0001-13;Privada com fins lucrativos;CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU (UNINASSAU);UNINASSAU;Rua Guilherme Pinto - 114 - CEP: 52011-210 - Graças;Recife;PE;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;5;5;3;;Ativa
1270;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;YDUQS;SP;848;SOCIEDADE DE ENSINO SUPERIOR ESTACIO RIBEIRAO PRETO LTDA;07.195.358/0001-66;Privada com fins lucrativos;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO (ESTÁCIO RIBEIRÃO PRE);ESTÁCIO RIBEIRÃO PRE;Rua Abrahão Issa Halack, 980, Ribeirânia. - 980 - CEP: 14096-160 - Ribeirânia;Ribeirão Preto;SP;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;5;4;3;;Ativa
1510;CENTRO UNIVERSITÁRIO ESTÁCIO DE SANTA CATARINA - ESTÁCIO SANTA CATARINA;YDUQS;SC;119;SOCIEDADE DE ENSINO SUPERIOR ESTACIO DE SA LTDA;34.075.739/0001-84;Privada com fins lucrativos;CENTRO UNIVERSITÁRIO ESTÁCIO DE SANTA CATARINA - ESTÁCIO SANTA CATARINA;-;Avenida Leoberto Leal - 431 - CEP: 88117-001 - Barreiros;São José;SC;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;5;5;3;;Ativa
466;UNIVERSIDADE ANHEMBI MORUMBI;Ânima;SP;321;ISCP - SOCIEDADE EDUCACIONAL LTDA.;62.596.408/0001-25;Privada com fins lucrativos;UNIVERSIDADE ANHEMBI MORUMBI (UAM);UAM;Rua Dr. Almeida Lima - 1124 e 1134 - CEP: 03164-000 - Brás;São Paulo;SP;Universidade;EAD - Superior / Presencial - Superior /;Privada;5;4;3;;Ativa
4751;CENTRO UNIVERSITÁRIO UNIFATECIE;UNIFATECIE;PR;3040;CENTRO EDUCACIONAL FATECIE LTDA;07.724.708/0001-34;Privada com fins lucrativos;CENTRO UNIVERSITÁRIO UNIFATECIE (UNIFATECIE);UNIFATECIE;Rodovia BR 376, Km 102 - 1000 - CEP: 87720-140 - GLEBA 01;Paranavaí;PR;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;5;5;3;;Ativa
18165;Fundação Universidade Virtual do Estado de São Paulo;Independentes;SP;15958;FUNDACAO UNIVERSIDADE VIRTUAL DO ESTADO DE SAO PAULO-UNIVESP;17.455.396/0001-64;Pessoa Jurídica de Direito Público - Estadual;Fundação Universidade Virtual do Estado de São Paulo (UNIVESP);UNIVESP;R Bela Cintra, Edifício Adélia Saliba - 847 - CEP: 01415-903 - Consolação;São Paulo;SP;Universidade;EAD - Superior /;Publica;;4;3;;Ativa
374;CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS;FMU;SP;262;FACULDADES METROPOLITANAS UNIDAS EDUCACIONAIS LTDA - EM RECUPERACAO JUDICIAL;63.063.689/0001-13;Privada com fins lucrativos;CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS (FMU);FMU;Rua Afonso Braz - 889 - CEP: 04511-011 - Vila Nova Conceição;São Paulo;SP;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;5;5;3;;Ativa
496;UNIVERSIDADE DE FRANCA;Cruzeiro do Sul;SP;342;ACEF S/A.;46.722.831/0001-78;Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Sociedade;UNIVERSIDADE DE FRANCA (UNIFRAN);UNIFRAN;Avenida Doutor Armando Sales Oliveira - 201 - CEP: 14404-600 - Parque Universitário;Franca;SP;Universidade;EAD - Superior / Presencial - Superior /;Privada;5;3;3;;Ativa
55;UNIVERSIDADE DE SÃO PAULO;Independentes;SP;15715;UNIVERSIDADE DE SAO PAULO;63.025.530/0001-04;Pessoa Jurídica de Direito Público - Estadual;UNIVERSIDADE DE SÃO PAULO (USP);USP;Rua da Reitoria - 374 - CEP: 05508-220 - Butantã;São Paulo;SP;Universidade;EAD - Superior / Presencial - Superior /;Publica;;5;;;Ativa
1205;CENTRO UNIVERSITÁRIO FAEL;Ser Educacional;PR;815;SOCIEDADE TECNICA EDUCACIONAL DA LAPA S/A;02.558.975/0001-65;Privada com fins lucrativos;CENTRO UNIVERSITÁRIO FAEL (UNIFAEL);UNIFAEL;Rodovia Olívio Belich Km 33 - 580 - CEP: 83750-000 - Boqueirão;Lapa;PR;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;4;4;3;;Ativa
3840;CENTRO UNIVERSITÁRIO FACVEST;UNIFACVEST;SC;2417;SOCIEDADE DE EDUCACAO N.S. AUXILIADORA LTDA;04.608.241/0001-79;Privada com fins lucrativos;CENTRO UNIVERSITÁRIO FACVEST (UNIFACVEST);UNIFACVEST;Avenida Marechal Floriano - 947 - CEP: 88501-103 - Centro;Lages;SC;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;5;5;4;;Ativa
586;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;Independentes;RJ;15536;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;33.663.683/0001-16;Pessoa Jurídica de Direito Público - Federal;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO (UFRJ);UFRJ;Avenida Brigadeiro Trompowsky - s/n - CEP: 21941-590 - Ilha do Fundão;Rio de Janeiro;RJ;Universidade;EAD - Superior / Presencial - Superior /;Publica;5;4;5;;Ativa
1446;CENTRO UNIVERSITÁRIO PLANALTO DO DISTRITO FEDERAL - UNIPLAN;Uniplan;DF;519;ASSOBES ENSINO SUPERIOR LTDA.;01.711.282/0001-06;Privada com fins lucrativos;CENTRO UNIVERSITÁRIO PLANALTO DO DISTRITO FEDERAL - UNIPLAN (UNIPLAN);UNIPLAN;Avenida Pau Brasil - 02 - CEP: 71926-000 - Sul (Águas Claras);Brasília;DF;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;3;4;2;;Ativa
3649;CENTRO UNIVERSITÁRIO CIDADE VERDE;UniCV;PR;2306;UNIAO MARINGAENSE DE ENSINO LTDA - EPP;05.885.457/0001-44;Privada com fins lucrativos;CENTRO UNIVERSITÁRIO CIDADE VERDE (unicive);unicive;Avenida Advogado Horácio Raccanello Filho - 5950 - CEP: 87020-035 - Zona 07;Maringá;PR;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;5;4;3;Adesão ao PROIES;Ativa
572;UNIVERSIDADE FEDERAL FLUMINENSE;Independentes;RJ;15589;UNIVERSIDADE FEDERAL FLUMINENSE;28.523.215/0001-06;Pessoa Jurídica de Direito Público - Federal;UNIVERSIDADE FEDERAL FLUMINENSE (UFF);UFF;Rua Miguel de Frias - 9 - CEP: 24220-008 - Icaraí;Niterói;RJ;Universidade;EAD - Superior / Presencial - Superior /;Publica;5;4;4;;Ativa
338;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS;PUC Minas;MG;236;SOCIEDADE MINEIRA DE CULTURA;17.178.195/0001-67;Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS (PUC MINAS);PUC MINAS;Avenida Dom José Gaspar - 500 - CEP: 30535-901 - Coração Eucarístico;Belo Horizonte;MG;Universidade;EAD - Superior / Presencial - Superior /;Privada;5;;4;;Ativa
165;UNIVERSIDADE VEIGA DE ALMEIDA;Veiga de Almeida;RJ;121;ANTARES EDUCACIONAL S.A.;34.185.306/0001-81;Privada com fins lucrativos;UNIVERSIDADE VEIGA DE ALMEIDA (UVA);UVA;Rua Ibituruna - 108 - CEP: 20271-901 - Tijuca;Rio de Janeiro;RJ;Universidade;EAD - Superior / Presencial - Superior /;Privada;5;5;4;;Ativa
203;UNIVERSIDADE SÃO JUDAS TADEU;Ânima;SP;143;AMC - SERVICOS EDUCACIONAIS LTDA;43.045.772/0001-52;Privada com fins lucrativos;UNIVERSIDADE SÃO JUDAS TADEU (USJT);USJT;Rua Taquari - 546 - CEP: 03166-000 - Mooca;São Paulo;SP;Universidade;EAD - Superior / Presencial - Superior /;Privada;5;5;3;;Ativa
383;UNIVERSIDADE DA AMAZÔNIA;Ser Educacional;PA;2447;INSTITUTO CAMPINENSE DE ENSINO SUPERIOR LTDA;05.933.016/0001-70;Privada com fins lucrativos;UNIVERSIDADE DA AMAZÔNIA (UNAMA);UNAMA;Avenida Alcindo Cacela - 287 - CEP: 66060-902 - Umarizal;Belém;PA;Universidade;EAD - Superior / Presencial - Superior /;Privada;5;5;3;Unificação de Mantidas;Ativa
2;UNIVERSIDADE DE BRASÍLIA;Independentes;DF;2;FUNDACAO UNIVERSIDADE DE BRASILIA;00.038.174/0001-43;Pessoa Jurídica de Direito Público - Federal;UNIVERSIDADE DE BRASÍLIA (UNB);UNB;Campus Universitário Darcy Ribeiro - s/n - CEP: 70910-900 - Asa Norte;Brasília;DF;Universidade;EAD - Superior / Presencial - Superior /;Publica;5;5;5;;Ativa
242;CENTRO UNIVERSITÁRIO ANHANGUERA PITÁGORAS AMPLI;Cogna;SP;16452;ANHANGUERA EDUCACIONAL PARTICIPACOES S/A;04.310.392/0001-46;Privada com fins lucrativos;CENTRO UNIVERSITÁRIO ANHANGUERA PITÁGORAS AMPLI;-;Rua Senador Flaquer - 456/459 - CEP: 09010-160 - Centro;Santo André;SP;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;5;5;3;;Ativa
2147;Centro Universitário CEUNI - FAMETRO;Fametro (AM);AM;1416;IME INSTITUTO METROPOLITANO DE ENSINO LTDA;03.817.341/0001-42;Privada com fins lucrativos;Centro Universitário CEUNI - FAMETRO (CEUNI-FAMETRO);CEUNI-FAMETRO;Avenida Constantino Nery - 3000 - CEP: 69050-000 - Chapada;Manaus;AM;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;5;5;4;;Ativa
143;UNIVERSIDADE DE UBERABA;Uniube;MG;103;SOCIEDADE EDUCACIONAL UBERABENSE;25.452.301/0001-87;Privada sem fins lucrativos;UNIVERSIDADE DE UBERABA (UNIUBE);UNIUBE;Avenida Nenê Sabino, 1801, Santa Marta - 1.801 - CEP: 38050-501 - Santos Dumont;Uberaba;MG;Universidade;EAD - Superior / Presencial - Superior /;Privada;3;4;4;;Ativa
1294;Centro Universitário das Américas;FAM - Americas;SP;862;SOCIEDADE EDUCACIONAL DAS AMERICAS S.A.;03.523.852/0001-51;Privada com fins lucrativos;Centro Universitário das Américas (CAM);CAM;Rua Augusta - 1520 - CEP: 01305-100 - Consolação;São Paulo;SP;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;5;4;3;;Ativa
548;UNIVERSIDADE FEDERAL DO MARANHÃO;Independentes;MA;2497;FUNDACAO UNIVERSIDADE FEDERAL DO MARANHAO;06.279.103/0001-19;Pessoa Jurídica de Direito Público - Federal;UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA);UFMA;Avenida dos Portugueses - 1966 - CEP: 65080-805 - Vila Bacanga;São Luís;MA;Universidade;EAD - Superior / Presencial - Superior /;Publica;4;4;4;;Ativa
569;UNIVERSIDADE FEDERAL DO PARÁ;Independentes;PA;15509;UNIVERSIDADE FEDERAL DO PARA;34.621.748/0001-23;Pessoa Jurídica de Direito Público - Federal;UNIVERSIDADE FEDERAL DO PARÁ (UFPA);UFPA;RUA AUGUSTO CORREA - 01 - CEP: 66075-110 - GUAMÁ;Belém;PA;Universidade;EAD - Superior / Presencial - Superior /;Publica;4;3;4;;Ativa
56;UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO;Independentes;SP;17109;UNIVERSIDADE ESTADUAL PAULISTA JULIO DE MESQUITA FILHO;48.031.918/0001-24;Pessoa Jurídica de Direito Público - Estadual;UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO (UNESP);UNESP;Rua Quirino de Andrade - 215 - CEP: 01049-010 - Centro;São Paulo;SP;Universidade;EAD - Superior / Presencial - Superior /;Publica;;5;5;;Ativa
926;Centro Universitário Anhanguera Pitágoras Unopar de Campo Grande;Cogna;MS;16452;ANHANGUERA EDUCACIONAL PARTICIPACOES S/A;04.310.392/0001-46;Privada com fins lucrativos;Centro Universitário Anhanguera Pitágoras Unopar de Campo Grande;-;Avenida Gury Marques - 3203 - CEP: 79079-005 - Vila Olinda;Campo Grande;MS;Centro Universitário;EAD - Superior / EAD - Lato-sensu / Presencial - Superior /;Privada;5;5;3;;Ativa
17854;Centro Universitário Unifecaf;Unifecaf;SP;15868;FEDERAL EDUCACIONAL LTDA.;17.238.945/0001-49;Privada com fins lucrativos;Centro Universitário UniFECAF (UniFECAF);UniFECAF;Avenida Vida Nova - 166 - CEP: 06764-045 - Jardim Maria Rosa;Taboão da Serra;SP;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;5;4;4;;Ativa
375;UNIVERSIDADE SANTO AMARO;Unisa;SP;488;OBRAS SOCIAIS E EDUCACIONAIS DE LUZ;18.301.267/0001-84;Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública;UNIVERSIDADE SANTO AMARO (UNISA);UNISA;Rua Enéas de Siqueira Neto - 340 - CEP: 04829-300 - Jardim das Imbuias;São Paulo;SP;Universidade;EAD - Superior / Presencial - Superior /;Privada;5;5;3;;Ativa
575;UNIVERSIDADE FEDERAL DE MINAS GERAIS;Independentes;MG;15515;UNIVERSIDADE FEDERAL DE MINAS GERAIS;17.217.985/0001-04;Pessoa Jurídica de Direito Público - Federal;UNIVERSIDADE FEDERAL DE MINAS GERAIS (UFMG);UFMG;Avenida Antonio Carlos - 6627 - CEP: 31270-901 - Pampulha;Belo Horizonte;MG;Universidade;EAD - Superior / Presencial - Superior /;Publica;5;;5;;Ativa
1042;UNIVERSIDADE POSITIVO;Cruzeiro do Sul;PR;418;CENTRO DE ESTUDOS SUPERIORES POSITIVO LTDA;78.791.712/0001-63;Privada com fins lucrativos;UNIVERSIDADE POSITIVO (UP);UP;Rua Professor Pedro Viriato Parigot de Souza - 5.300 - CEP: 81280-330 - Campo Comprido;Curitiba;PR;Universidade;EAD - Superior / Presencial - Superior /;Privada;4;5;3;;Ativa
547;UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO;Independentes;RJ;379;UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO;33.540.014/0001-57;Pessoa Jurídica de Direito Público - Estadual;UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO (UERJ);UERJ;Rua São Francisco Xavier - 524 - CEP: 20559-900 - MARACANÃ;Rio de Janeiro;RJ;Universidade;EAD - Superior / Presencial - Superior /;Publica;;4;4;;Ativa
277;CENTRO UNIVERSITÁRIO AUGUSTO MOTTA;UniSUAM;RJ;199;SOCIEDADE UNIFICADA DE ENSINO AUGUSTO MOTTA;34.008.227/0001-03;Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública;CENTRO UNIVERSITÁRIO AUGUSTO MOTTA (UNISUAM);UNISUAM;Avenida Paris - 84 - CEP: 21041-020 - Bonsucesso;Rio de Janeiro;RJ;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;5;5;3;;Ativa
1430;CENTRO UNIVERSITÁRIO INGÁ;Uninga;PR;945;UNIDADE DE ENSINO SUPERIOR INGA LTDA;01.207.056/0001-84;Privada com fins lucrativos;CENTRO UNIVERSITÁRIO INGÁ (UNINGÁ);UNINGÁ;PR-317 - 21 - CEP: 87035-510 - Parque Industrial 200;Maringá;PR;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;5;4;3;;Ativa
580;UNIVERSIDADE FEDERAL DE PERNAMBUCO;Independentes;PE;15538;UNIVERSIDADE FEDERAL DE PERNAMBUCO;24.134.488/0001-08;Pessoa Jurídica de Direito Público - Federal;UNIVERSIDADE FEDERAL DE PERNAMBUCO (UFPE);UFPE;Av. Prof. Moraes Rego - 1.235 - CEP: 50670-901 - Cidade Universitária;Recife;PE;Universidade;EAD - Superior / Presencial - Superior /;Publica;5;5;5;;Ativa
570;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;Independentes;RN;13401;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;24.365.710/0001-83;Pessoa Jurídica de Direito Público - Federal;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE (UFRN);UFRN;Avenida Senador Salgado Filho - 3000 - CEP: 59078-970 - Lagoa Nova;Natal;RN;Universidade;EAD - Superior / Presencial - Superior /;Publica;5;;5;;Ativa
526;CENTRO UNIVERSITÁRIO BRAZ CUBAS;Cruzeiro do Sul;SP;365;SOCIEDADE EDUCACIONAL BRAZ CUBAS LTDA.;52.556.412/0001-06;Privada com fins lucrativos;CENTRO UNIVERSITÁRIO BRAZ CUBAS;-;Av. Francisco Rodrigues Filho - 1233 - CEP: 08773-380 - Mogilar;Mogi das Cruzes;SP;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;5;5;3;Adesão ao PROIES;Ativa
578;UNIVERSIDADE FEDERAL DA BAHIA;Independentes;BA;15594;UNIVERSIDADE FEDERAL DA BAHIA;15.180.714/0001-04;Pessoa Jurídica de Direito Público - Federal;UNIVERSIDADE FEDERAL DA BAHIA (UFBA);UFBA;RUA AUGUSTO VIANA - S/N - CEP: 40110-909 - CANELA;Salvador;BA;Universidade;EAD - Superior / Presencial - Superior /;Publica;5;5;5;;Ativa
10;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;PUCPR;PR;10;ASSOCIACAO PARANAENSE DE CULTURA - APC;76.659.820/0001-51;Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ (PUCPR);PUCPR;Rua Imaculada Conceição - 1155 - CEP: 80215-901 - Prado Velho;Curitiba;PR;Universidade;EAD - Superior / Presencial - Superior /;Privada;5;4;4;;Ativa
571;UNIVERSIDADE FEDERAL DO PARANÁ;Independentes;PR;15595;UNIVERSIDADE FEDERAL DO PARANA;75.095.679/0001-49;Pessoa Jurídica de Direito Público - Federal;UNIVERSIDADE FEDERAL DO PARANÁ (UFPR);UFPR;RUA XV DE NOVEMBRO - 1299 - CEP: 80060-000 - CENTRO;Curitiba;PR;Universidade;EAD - Superior / Presencial - Superior /;Publica;4;3;5;;Ativa
579;UNIVERSIDADE FEDERAL DA PARAÍBA;Independentes;PB;15590;UNIVERSIDADE FEDERAL DA PARAIBA;24.098.477/0001-10;Pessoa Jurídica de Direito Público - Federal;UNIVERSIDADE FEDERAL DA PARAÍBA (UFPB);UFPB;Cidade Universitária - s/n - CEP: 58051-900 - Castelo Branco;João Pessoa;PB;Universidade;EAD - Superior / Presencial - Superior /;Publica;4;4;4;;Ativa
581;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Independentes;RS;13482;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;92.969.856/0001-98;Pessoa Jurídica de Direito Público - Federal;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL (UFRGS);UFRGS;Avenida Paulo Gama - 110 - CEP: 90040-060 - Farroupilha;Porto Alegre;RS;Universidade;EAD - Superior / Presencial - Superior /;Publica;4;4;5;;Ativa
583;UNIVERSIDADE FEDERAL DO CEARÁ;Independentes;CE;15439;UNIVERSIDADE FEDERAL DO CEARA;07.272.636/0001-31;Pessoa Jurídica de Direito Público - Federal;UNIVERSIDADE FEDERAL DO CEARÁ (UFC);UFC;Av. da Universidade, 2853, Benfica. - 2853 - CEP: 60020-181 - Benfica;Fortaleza;CE;Universidade;EAD - Superior / Presencial - Superior /;Publica;5;3;5;;Ativa
588;UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ;Independentes;PR;9052;UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA;75.101.873/0001-90;Pessoa Jurídica de Direito Público - Federal;UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ (UTFPR);UTFPR;Av. Sete de Setembro - 3.165 - CEP: 80230-010 - Rebouças;Curitiba;PR;Universidade;EAD - Superior / Presencial - Superior /;Publica;5;5;4;;Ativa
1759;Gran Centro Universitário;Gran;PR;18437;GRAN CENTRO UNIVERSITARIO LTDA.;32.163.997/0001-97;Privada com fins lucrativos;Gran Centro Universitário (GRAN);GRAN;Rua Caetano Marchesini - 952 - CEP: 81070-110 - Portão;Curitiba;PR;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;5;5;3;;Ativa
694;UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL;Independentes;MS;462;FUNDACAO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL;15.461.510/0001-33;Pessoa Jurídica de Direito Público - Federal;UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL (UFMS);UFMS;Av. Costa e Silva - s/n - CEP: 79070-900 - Cidade Universitária;Campo Grande;MS;Universidade;EAD - Superior / Presencial - Superior /;Publica;5;5;4;;Ativa
1658;CENTRO UNIVERSITÁRIO DA GRANDE FORTALEZA;UniGrande;CE;1085;CEUDESP EDUCACIONAL LTDA;02.843.943/0001-01;Privada com fins lucrativos;CENTRO UNIVERSITÁRIO DA GRANDE FORTALEZA (UNIGRANDE);UNIGRANDE;Avenida Lineu Machado - 419 - CEP: 60520-101 - Jóquei Clube;Fortaleza;CE;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;5;5;4;;Ativa
385;UNIVERSIDADE SALVADOR;Ânima;BA;268;FACS SERVICOS EDUCACIONAIS LTDA;13.526.884/0001-64;Privada com fins lucrativos;UNIVERSIDADE SALVADOR (UNIFACS);UNIFACS;Avenida Luís Viana - 3146 - CEP: 41720-200 - Pituaçu;;;Universidade;EAD - Superior / Presencial - Superior /;Privada;5;4;3;;Ativa
585;UNIVERSIDADE FEDERAL DE SANTA CATARINA;Independentes;SC;15593;UNIVERSIDADE FEDERAL DE SANTA CATARINA;83.899.526/0001-82;Pessoa Jurídica de Direito Público - Federal;UNIVERSIDADE FEDERAL DE SANTA CATARINA (UFSC);UFSC;Campus Universitário - s/n - CEP: 88040-900 - Trindade;Florianópolis;SC;Universidade;EAD - Superior / Presencial - Superior /;Publica;5;4;5;;Ativa
22;UNIVERSIDADE PRESBITERIANA MACKENZIE;Mackenzie;SP;22;INSTITUTO PRESBITERIANO MACKENZIE;60.967.551/0001-50;Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública;UNIVERSIDADE PRESBITERIANA MACKENZIE (MACKENZIE);MACKENZIE;Rua da Consolação - 896 - CEP: 01302-907 - Consolação;São Paulo;SP;Universidade;EAD - Superior / Presencial - Superior /;Privada;5;5;4;;Ativa
670;UNIVERSIDADE SÃO FRANCISCO;USF;SP;442;CASA DE NOSSA SENHORA DA PAZ ACAO SOCIAL FRANCISCANA;33.495.870/0001-38;Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública;UNIVERSIDADE SÃO FRANCISCO (USF);USF;Avenida São Francisco de Assis - 218 - CEP: 12916-900 - Jardim São José;Bragança Paulista;SP;Universidade;EAD - Superior / Presencial - Superior /;Privada;4;5;3;;Ativa
