tabela,n,secao,variavel,descricao,tipo,tamanho,categorias,observacao
cadastro_cursos,166,ESTATÍSTICAS DO CURSO,QT_ING_RVINTERN,Quantidade de ingressantes - alunos que participam do programa de reserva de vagas ou programa diferenciado de destinação de vagas -internacional,num,8,,
cadastro_cursos,167,ESTATÍSTICAS DO CURSO,QT_ING_RVMEDAL,Quantidade de ingressantes - alunos que participam do programa de reserva de vagas ou programa diferenciado de destinação de vagas -medalhista em olimpíadas científicas e competições de conhecimento,num,8,,
cadastro_cursos,168,ESTATÍSTICAS DO CURSO,QT_ING_RVTRANS,Quantidade de ingressantes - alunos que participam do programa de reserva de vagas ou programa diferenciado de destinação de vagas -transgênero e/ou travesti,num,8,,
cadastro_cursos,169,ESTATÍSTICAS DO CURSO,QT_ING_RVOUTROS,Quantidade de ingressantes - alunos que participam do programa de reserva de vagas ou programa diferenciado de destinação de vagas - outros tipos,Num,8,,
cadastro_cursos,170,ESTATÍSTICAS DO CURSO,QT_MAT_RESERVA_VAGA,Quantidade de matrículas - alunos que ingressaram por meio de política de ação afirmativa ou por programa diferenciado de destinação de vagas,Num,8,,
cadastro_cursos,171,ESTATÍSTICAS DO CURSO,QT_MAT_RVREDEPUBLICA,Quantidade de matrículas - alunos que participam do programa de reserva de vagas ou programa diferenciado de destinação de vagas - escola pública,Num,8,,
cadastro_cursos,172,ESTATÍSTICAS DO CURSO,QT_MAT_RVETNICO,Quantidade de matrículas - alunos que participam do programa de reserva de vagas - cunho étnico,Num,8,,
cadastro_cursos,173,ESTATÍSTICAS DO CURSO,QT_MAT_RVPPI,"Quantidade de Matrículas - alunos que participam do programa de reserva de vagas ou programa diferenciado de destinação de vagas - pretos, pardos ou indígenas",num,8,,
cadastro_cursos,174,ESTATÍSTICAS DO CURSO,QT_MAT_RVQUILO,Quantidade de Matrículas - alunos que participam do programa de reserva de vagas ou programa diferenciado de destinação de vagas - quilombolas,num,8,,
cadastro_cursos,175,ESTATÍSTICAS DO CURSO,QT_MAT_RVREFU,"Quantidade de Matrículas - alunos que participam do programa de reserva de vagas ou programa diferenciado de destinação de vagas - refugiados, apátridas ou portadores de visto humanitário",num,8,,
cadastro_cursos,176,ESTATÍSTICAS DO CURSO,QT_MAT_RVPOVT,Quantidade de Matrículas - alunos que participam do programa de reserva de vagas ou programa diferenciado de destinação de vagas - povos e a comunidades tradicionais,num,8,,
cadastro_cursos,177,ESTATÍSTICAS DO CURSO,QT_MAT_RVPDEF,Quantidade de matrículas - alunos que participam do programa de reserva de vagas ou programa diferenciado de destinação de vagas - pessoas com deficiência,Num,8,,
cadastro_cursos,178,ESTATÍSTICAS DO CURSO,QT_MAT_RVSOCIAL_RF,Quantidade de matrículas - alunos que participam do programa de reserva de vagas ou programa diferenciado de destinação de vagas - cunho social/renda familiar,Num,8,,
cadastro_cursos,179,ESTATÍSTICAS DO CURSO,QT_MAT_RVIDOSO,Quantidade de Matrículas - alunos que participam do programa de reserva de vagas ou programa diferenciado de destinação de vagas -idoso,num,8,,
cadastro_cursos,180,ESTATÍSTICAS DO CURSO,QT_MAT_RVINTERN,Quantidade de Matrículas - alunos que participam do programa de reserva de vagas ou programa diferenciado de destinação de vagas -internacional,num,8,,
cadastro_cursos,181,ESTATÍSTICAS DO CURSO,QT_MAT_RVMEDAL,Quantidade de Matrículas - alunos que participam do programa de reserva de vagas ou programa diferenciado de destinação de vagas -medalhista em olimpíadas científicas e competições de conhecimento,num,8,,
cadastro_cursos,182,ESTATÍSTICAS DO CURSO,QT_MAT_RVTRANS,Quantidade de Matrículas - alunos que participam do programa de reserva de vagas ou programa diferenciado de destinação de vagas -transgênero e/ou travesti,num,8,,
cadastro_cursos,183,ESTATÍSTICAS DO CURSO,QT_MAT_RVOUTROS,Quantidade de matrículas - alunos que participam do programa de reserva de vagas ou programa diferenciado de destinação de vagas - outros tipos,Num,8,,
cadastro_cursos,184,ESTATÍSTICAS DO CURSO,QT_CONC_RESERVA_VAGA,Quantidade de concluintes - alunos que participam do programa de reserva de vagas ou programa diferenciado de destinação de vagas,Num,8,,
cadastro_cursos,185,ESTATÍSTICAS DO CURSO,QT_CONC_RVREDEPUBLICA,Quantidade de concluintes - alunos que participam do programa de reserva de vagas ou programa diferenciado de destinação de vagas - escola pública,Num,8,,
cadastro_cursos,186,ESTATÍSTICAS DO CURSO,QT_CONC_RVETNICO,Quantidade de concluintes - alunos que participam do programa de reserva de vagas ou programa diferenciado de destinação de vagas - cunho étnico,Num,8,,
cadastro_cursos,187,ESTATÍSTICAS DO CURSO,QT_CONC_RVPPI,"Quantidade de Concluintes - alunos que participam do programa de reserva de vagas ou programa diferenciado de destinação de vagas - pretos, pardos ou indígenas",num,8,,
cadastro_cursos,188,ESTATÍSTICAS DO CURSO,QT_CONC_RVQUILO,Quantidade de Concluintes - alunos que participam do programa de reserva de vagas ou programa diferenciado de destinação de vagas - quilombolas,num,8,,
cadastro_cursos,189,ESTATÍSTICAS DO CURSO,QT_CONC_RVREFU,"Quantidade de Concluintes - alunos que participam do programa de reserva de vagas ou programa diferenciado de destinação de vagas - refugiados, apátridas ou portadores de visto humanitário",num,8,,
cadastro_cursos,190,ESTATÍSTICAS DO CURSO,QT_CONC_RVPOVT,Quantidade de Concluintes - alunos que participam do programa de reserva de vagas ou programa diferenciado de destinação de vagas - povos e a comunidades tradicionais,num,8,,
cadastro_cursos,191,ESTATÍSTICAS DO CURSO,QT_CONC_RVPDEF,Quantidade de concluintes - alunos que participam do programa de reserva de vagas ou programa diferenciado de destinação de vagas - pessoas com deficiência,Num,8,,
cadastro_cursos,192,ESTATÍSTICAS DO CURSO,QT_CONC_RVSOCIAL_RF,Quantidade de concluintes - alunos que participam do programa de reserva de vagas ou programa diferenciado de destinação de vagas - cunho social/renda familiar,Num,8,,
cadastro_cursos,193,ESTATÍSTICAS DO CURSO,QT_CONC_RVIDOSO,Quantidade de Concluintes - alunos que participam do programa de reserva de vagas ou programa diferenciado de destinação de vagas -idoso,num,8,,
cadastro_cursos,194,ESTATÍSTICAS DO CURSO,QT_CONC_RVINTERN,Quantidade de Concluintes - alunos que participam do programa de reserva de vagas ou programa diferenciado de destinação de vagas -internacional,num,8,,
cadastro_cursos,195,ESTATÍSTICAS DO CURSO,QT_CONC_RVMEDAL,Quantidade de Concluintes - alunos que participam do programa de reserva de vagas ou programa diferenciado de destinação de vagas -medalhista em olimpíadas científicas e competições de conhecimento,num,8,,
cadastro_cursos,196,ESTATÍSTICAS DO CURSO,QT_CONC_RVTRANS,Quantidade de Concluintes - alunos que participam do programa de reserva de vagas ou programa diferenciado de destinação de vagas -transgênero e/ou travesti,num,8,,
cadastro_cursos,197,ESTATÍSTICAS DO CURSO,QT_CONC_RVOUTROS,Quantidade de concluintes - alunos que participam do programa de reserva de vagas ou programa diferenciado de destinação de vagas - outros tipos,Num,8,,
cadastro_cursos,198,ESTATÍSTICAS DO CURSO,QT_SIT_TRANCADA,Quantidade de alunos com situação de vínculo no curso - matrícula trancada,Num,8,,
cadastro_cursos,199,ESTATÍSTICAS DO CURSO,QT_SIT_DESVINCULADO,Quantidade de alunos com situação de vínculo no curso - aluno desvinculado do curso,Num,8,,
cadastro_cursos,200,ESTATÍSTICAS DO CURSO,QT_SIT_TRANSFERIDO,Quantidade de alunos com situação de vínculo no curso - aluno transferido para outro curso da mesma IES,Num,8,,
cadastro_cursos,201,ESTATÍSTICAS DO CURSO,QT_SIT_FALECIDO,Quantidade de alunos com situação de vínculo no curso - aluno falecido,Num,8,,
cadastro_cursos,202,ESTATÍSTICAS DO CURSO,QT_ING_PROCESCPUBLICA,Quantidade de ingressantes que terminaram o ensino médio em escolas públicas,Num,8,,
cadastro_cursos,203,ESTATÍSTICAS DO CURSO,QT_ING_PROCESCPRIVADA,Quantidade de ingressantes que terminaram o ensino médio em escolas privadas,Num,8,,
cadastro_cursos,204,ESTATÍSTICAS DO CURSO,QT_ING_PROCNAOINFORMADA,Quantidade de ingressantes que não informaram o tipo de escola que terminaram o ensino médio,Num,8,,
